SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 6
NBLOCKS 354
NPATHS 1165
NVALUES 5673
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
111 2 5 4 4 6
112 2 5 4 7 1
113 2 5 5 2 2
114 2 5 5 5 2
115 2 5 6 3 1
116 4 4 0 6 1
117 4 4 1 4 2
118 4 4 1 7 2
119 4 4 2 2 1
120 4 4 2 5 6
121 4 4 2 8 1
122 4 4 3 3 6
123 4 4 3 6 6
124 4 4 4 1 2
125 4 4 4 4 10
126 4 4 4 7 2
127 4 4 5 2 6
128 4 4 5 5 6
129 4 4 6 0 1
130 4 4 6 3 6
131 4 4 6 6 1
132 4 4 7 1 2
133 4 4 7 4 2
134 4 4 8 2 1
135 5 2 1 4 1
136 5 2 2 2 2
137 5 2 2 5 2
138 5 2 3 0 1
139 5 2 3 3 6
140 5 2 3 6 1
141 5 2 4 1 6
142 5 2 4 4 6
143 5 2 5 2 10
144 5 2 5 5 2
145 5 2 6 0 5
146 5 2 6 3 6
147 5 2 7 1 6
148 5 2 7 4 1
149 5 2 8 2 2
150 5 2 9 0 1
151 6 0 2 2 1
152 6 0 3 0 1
153 6 0 3 3 2
154 6 0 4 1 4
155 6 0 4 4 1
156 6 0 5 2 5
157 6 0 6 0 4
158 6 0 6 3 2
159 6 0 7 1 4
160 6 0 8 2 1
161 6 0 9 0 1
162 1 7 0 6 4
163 1 7 0 9 4
164 1 7 1 4 2
165 1 7 1 7 9
166 1 7 1 10 2
167 1 7 2 5 6
168 1 7 2 8 6
169 1 7 3 3 1
170 1 7 3 6 6
171 1 7 3 9 1
172 1 7 4 4 2
173 1 7 4 7 2
174 1 7 5 5 1
175 3 6 0 6 2
176 3 6 0 9 2
177 3 6 1 4 1
178 3 6 1 7 6
179 3 6 1 10 1
180 3 6 2 5 6
181 3 6 2 8 6
182 3 6 3 3 2
183 3 6 3 6 10
184 3 6 3 9 2
185 3 6 4 4 6
186 3 6 4 7 6
187 3 6 5 2 1
188 3 6 5 5 6
189 3 6 5 8 1
190 3 6 6 3 2
191 3 6 6 6 2
192 3 6 7 4 1
193 5 5 1 7 1
194 5 5 2 5 2
195 5 5 2 8 2
196 5 5 3 3 1
197 5 5 3 6 6
198 5 5 3 9 1
199 5 5 4 4 6
200 5 5 4 7 6
201 5 5 5 2 2
202 5 5 5 5 10
203 5 5 5 8 2
204 5 5 6 3 6
205 5 5 6 6 6
206 5 5 7 1 1
207 5 5 7 4 6
208 5 5 7 7 1
209 5 5 8 2 2
210 5 5 8 5 2
211 5 5 9 3 1
212 6 3 2 5 1
213 6 3 3 3 2
214 6 3 3 6 2
215 6 3 4 1 1
216 6 3 4 4 6
217 6 3 4 7 1
218 6 3 5 2 6
219 6 3 5 5 6
220 6 3 6 0 2
221 6 3 6 3 10
222 6 3 6 6 2
223 6 3 7 1 6
224 6 3 7 4 6
225 6 3 8 2 6
226 6 3 8 5 1
227 6 3 9 0 2
228 6 3 9 3 2
229 6 3 10 1 1
230 7 1 3 3 1
231 7 1 4 1 2
232 7 1 4 4 2
233 7 1 5 2 6
234 7 1 5 5 1
235 7 1 6 0 4
236 7 1 6 3 6
237 7 1 7 1 9
238 7 1 7 4 2
239 7 1 8 2 6
240 7 1 9 0 4
241 7 1 9 3 1
242 7 1 10 1 2
243 0 9 0 6 1
244 0 9 0 9 4
245 0 9 0 12 1
246 0 9 1 7 4
247 0 9 1 10 4
248 0 9 2 5 1
249 0 9 2 8 5
250 0 9 2 11 1
251 0 9 3 6 2
252 0 9 3 9 2
253 0 9 4 7 1
254 2 8 0 6 1
255 2 8 0 9 5
256 2 8 0 12 1
257 2 8 1 7 6
258 2 8 1 10 6
259 2 8 2 5 2
260 2 8 2 8 10
261 2 8 2 11 2
262 2 8 3 6 6
263 2 8 3 9 6
264 2 8 4 4 1
265 2 8 4 7 6
266 2 8 4 10 1
267 2 8 5 5 2
268 2 8 5 8 2
269 2 8 6 6 1
270 4 7 0 9 1
271 4 7 1 7 2
272 4 7 1 10 2
273 4 7 2 5 1
274 4 7 2 8 6
275 4 7 2 11 1
276 4 7 3 6 6
277 4 7 3 9 6
278 4 7 4 4 2
279 4 7 4 7 10
280 4 7 4 10 2
281 4 7 5 5 6
282 4 7 5 8 6
283 4 7 6 3 1
284 4 7 6 6 6
285 4 7 6 9 1
286 4 7 7 4 2
287 4 7 7 7 2
288 4 7 8 5 1
289 6 6 2 8 1
290 6 6 3 6 2
291 6 6 3 9 2
292 6 6 4 4 1
293 6 6 4 7 6
294 6 6 4 10 1
295 6 6 5 5 6
296 6 6 5 8 6
297 6 6 6 3 2
298 6 6 6 6 10
299 6 6 6 9 2
300 6 6 7 4 6
301 6 6 7 7 6
302 6 6 8 2 1
303 6 6 8 5 6
304 6 6 8 8 1
305 6 6 9 3 2
306 6 6 9 6 2
307 6 6 10 4 1
308 7 4 3 6 1
309 7 4 4 4 2
310 7 4 4 7 2
311 7 4 5 2 1
312 7 4 5 5 6
313 7 4 5 8 1
314 7 4 6 3 6
315 7 4 6 6 6
316 7 4 7 1 2
317 7 4 7 4 10
318 7 4 7 7 2
319 7 4 8 2 6
320 7 4 8 5 6
321 7 4 9 0 1
322 7 4 9 3 6
323 7 4 9 6 1
324 7 4 10 1 2
325 7 4 10 4 2
326 7 4 11 2 1
327 8 2 4 4 1
328 8 2 5 2 2
329 8 2 5 5 2
330 8 2 6 0 1
331 8 2 6 3 6
332 8 2 6 6 1
333 8 2 7 1 6
334 8 2 7 4 6
335 8 2 8 2 10
336 8 2 8 5 2
337 8 2 9 0 5
338 8 2 9 3 6
339 8 2 10 1 6
340 8 2 10 4 1
341 8 2 11 2 2
342 8 2 12 0 1
343 9 0 5 2 1
344 9 0 6 0 1
345 9 0 6 3 2
346 9 0 7 1 4
347 9 0 7 4 1
348 9 0 8 2 5
349 9 0 9 0 4
350 9 0 9 3 2
351 9 0 10 1 4
352 9 0 11 2 1
353 9 0 12 0 1
END_BLOCKS
BEGIN_PATHS
# block path middle_p middle_q left_mult right_mult left_parity right_parity
0 0 1 1 0 0 0 1
1 0 1 1 0 0 0 -1
2 0 1 1 0 0 0 1
2 1 1 1 0 1 0 -1
3 0 1 1 0 0 0 1
4 0 1 1 0 0 0 -1
5 0 1 1 0 0 1 1
5 1 1 1 1 0 -1 1
6 0 0 3 0 0 -1 0
6 1 1 1 0 0 1 -1
6 2 1 1 1 0 -1 -1
6 3 2 2 0 0 1 0
7 0 0 0 0 0 1 0
7 1 0 3 0 0 -1 0
7 2 1 1 0 0 1 1
7 3 1 1 0 1 1 -1
7 4 1 1 1 0 -1 1
7 5 1 1 1 1 -1 -1
7 6 2 2 0 0 1 0
7 7 3 0 0 0 -1 0
8 0 0 3 0 0 -1 0
8 1 2 2 0 0 1 0
9 0 0 3 0 0 -1 0
9 1 1 1 0 0 1 1
9 2 1 1 1 0 -1 1
9 3 2 2 0 0 1 0
9 4 2 2 0 1 1 0
9 5 3 0 0 0 -1 0
10 0 1 1 0 0 1 -1
10 1 1 1 1 0 -1 -1
10 2 2 2 0 0 1 0
10 3 3 0 0 0 -1 0
11 0 2 2 0 0 1 0
12 0 2 2 0 0 1 0
12 1 3 0 0 0 -1 0
13 0 1 1 0 0 0 1
14 0 0 3 0 0 0 0
14 1 1 1 0 0 0 -1
14 2 1 4 0 0 0 0
14 3 2 2 0 0 0 0
15 0 1 4 0 0 0 0
16 0 0 3 0 0 0 0
16 1 1 1 0 0 0 1
16 2 1 1 0 1 0 -1
16 3 2 2 0 0 0 0
17 0 0 3 0 0 0 0
17 1 1 4 0 0 0 0
17 2 1 4 0 1 0 0
17 3 2 2 0 0 0 0
18 0 0 3 0 0 0 0
18 1 1 1 0 0 0 1
18 2 1 4 0 0 0 0
18 3 2 2 0 0 0 0
18 4 2 2 0 1 0 0
19 0 1 4 0 0 0 0
20 0 1 1 0 0 0 -1
20 1 2 2 0 0 0 0
21 0 1 4 0 0 0 0
21 1 2 2 0 0 0 0
22 0 2 2 0 0 0 0
23 0 1 1 0 0 0 1
24 0 0 3 0 0 0 0
24 1 1 1 0 0 0 -1
24 2 1 4 0 0 0 0
24 3 2 2 0 0 0 0
24 4 2 2 1 0 0 0
25 0 1 4 0 0 0 0
26 0 0 3 0 0 0 0
26 1 1 1 0 0 0 1
26 2 1 1 0 1 0 -1
26 3 2 2 0 0 0 0
26 4 2 2 1 0 0 0
26 5 3 0 0 0 0 0
27 0 0 3 0 0 0 0
27 1 1 4 0 0 0 0
27 2 1 4 0 1 0 0
27 3 2 2 0 0 0 0
27 4 2 2 1 0 0 0
27 5 3 3 0 0 0 0
28 0 0 3 0 0 0 0
28 1 1 1 0 0 0 1
28 2 1 4 0 0 0 0
28 3 2 2 0 0 0 0
28 4 2 2 0 1 0 0
28 5 2 2 1 0 0 0
28 6 2 2 1 1 0 0
28 7 3 0 0 0 0 0
28 8 3 3 0 0 0 0
28 9 4 1 0 0 0 0
29 0 1 4 0 0 0 0
29 1 3 3 0 0 0 0
30 0 1 1 0 0 0 -1
30 1 2 2 0 0 0 0
30 2 2 2 1 0 0 0
30 3 3 0 0 0 0 0
30 4 4 1 0 0 0 0
31 0 1 4 0 0 0 0
31 1 2 2 0 0 0 0
31 2 2 2 1 0 0 0
31 3 3 3 0 0 0 0
31 4 3 3 0 1 0 0
31 5 4 1 0 0 0 0
32 0 2 2 0 0 0 0
32 1 2 2 1 0 0 0
32 2 3 0 0 0 0 0
32 3 3 3 0 0 0 0
32 4 4 1 0 0 0 0
32 5 4 1 0 1 0 0
33 0 3 3 0 0 0 0
34 0 3 3 0 0 0 0
34 1 4 1 0 0 0 0
35 0 4 1 0 0 0 0
36 0 1 1 0 0 0 1
37 0 1 1 0 0 0 -1
37 1 2 2 0 0 0 0
38 0 1 1 0 0 0 1
38 1 1 1 0 1 0 -1
38 2 2 2 0 0 0 0
38 3 3 0 0 0 0 0
39 0 2 2 0 0 0 0
40 0 1 1 0 0 0 1
40 1 2 2 0 0 0 0
40 2 2 2 0 1 0 0
40 3 3 0 0 0 0 0
40 4 4 1 0 0 0 0
41 0 1 1 0 0 0 -1
41 1 2 2 0 0 0 0
41 2 3 0 0 0 0 0
41 3 4 1 0 0 0 0
42 0 2 2 0 0 0 0
42 1 4 1 0 0 0 0
43 0 2 2 0 0 0 0
43 1 3 0 0 0 0 0
43 2 4 1 0 0 0 0
43 3 4 1 0 1 0 0
44 0 4 1 0 0 0 0
45 0 4 1 0 0 0 0
46 0 0 3 0 0 0 0
46 1 1 4 0 0 0 0
46 2 1 4 1 0 0 0
46 3 2 2 0 0 0 0
47 0 0 6 0 0 0 0
47 1 1 4 0 0 0 0
47 2 1 4 1 0 0 0
47 3 2 5 0 0 0 0
48 0 0 3 0 0 0 0
48 1 2 2 0 0 0 0
49 0 0 3 0 0 0 0
49 1 0 6 0 0 0 0
49 2 1 4 0 0 0 0
49 3 1 4 0 1 0 0
49 4 1 4 1 0 0 0
49 5 1 4 1 1 0 0
49 6 2 2 0 0 0 0
49 7 2 5 0 0 0 0
49 8 3 3 0 0 0 0
50 0 0 6 0 0 0 0
50 1 2 5 0 0 0 0
51 0 0 3 0 0 0 0
51 1 1 4 0 0 0 0
51 2 1 4 1 0 0 0
51 3 2 2 0 0 0 0
51 4 2 2 0 1 0 0
51 5 3 3 0 0 0 0
52 0 0 6 0 0 0 0
52 1 1 4 0 0 0 0
52 2 1 4 1 0 0 0
52 3 2 5 0 0 0 0
52 4 2 5 0 1 0 0
52 5 3 3 0 0 0 0
53 0 2 2 0 0 0 0
54 0 1 4 0 0 0 0
54 1 1 4 1 0 0 0
54 2 2 2 0 0 0 0
54 3 2 5 0 0 0 0
54 4 3 3 0 0 0 0
54 5 3 3 0 1 0 0
55 0 2 5 0 0 0 0
56 0 2 2 0 0 0 0
56 1 3 3 0 0 0 0
57 0 2 5 0 0 0 0
57 1 3 3 0 0 0 0
58 0 3 3 0 0 0 0
59 0 1 4 0 0 0 0
59 1 2 2 0 0 0 0
60 0 1 4 0 0 0 0
60 1 2 5 0 0 0 0
61 0 2 2 0 0 0 0
62 0 1 4 0 0 0 0
62 1 1 4 0 1 0 0
62 2 2 2 0 0 0 0
62 3 2 5 0 0 0 0
62 4 3 3 0 0 0 0
62 5 3 3 1 0 0 0
63 0 2 5 0 0 0 0
64 0 1 4 0 0 0 0
64 1 2 2 0 0 0 0
64 2 2 2 0 1 0 0
64 3 3 3 0 0 0 0
64 4 3 3 1 0 0 0
64 5 4 1 0 0 0 0
65 0 1 4 0 0 0 0
65 1 2 5 0 0 0 0
65 2 2 5 0 1 0 0
65 3 3 3 0 0 0 0
65 4 3 3 1 0 0 0
65 5 4 4 0 0 0 0
66 0 2 2 0 0 0 0
66 1 4 1 0 0 0 0
67 0 1 4 0 0 0 0
67 1 2 2 0 0 0 0
67 2 2 5 0 0 0 0
67 3 3 3 0 0 0 0
67 4 3 3 0 1 0 0
67 5 3 3 1 0 0 0
67 6 3 3 1 1 0 0
67 7 4 1 0 0 0 0
67 8 4 4 0 0 0 0
67 9 5 2 0 0 0 0
68 0 2 5 0 0 0 0
68 1 4 4 0 0 0 0
69 0 2 2 0 0 0 0
69 1 3 3 0 0 0 0
69 2 3 3 1 0 0 0
69 3 4 1 0 0 0 0
69 4 4 1 0 1 0 0
69 5 5 2 0 0 0 0
70 0 2 5 0 0 0 0
70 1 3 3 0 0 0 0
70 2 3 3 1 0 0 0
70 3 4 4 0 0 0 0
70 4 4 4 0 1 0 0
70 5 5 2 0 0 0 0
71 0 3 3 0 0 0 0
71 1 3 3 1 0 0 0
71 2 4 1 0 0 0 0
71 3 4 4 0 0 0 0
71 4 5 2 0 0 0 0
71 5 5 2 0 1 0 0
72 0 4 4 0 0 0 0
73 0 4 1 0 0 0 0
73 1 5 2 0 0 0 0
74 0 4 4 0 0 0 0
74 1 5 2 0 0 0 0
75 0 5 2 0 0 0 0
76 0 2 2 0 0 0 0
77 0 2 2 0 0 0 0
77 1 3 0 0 0 0 0
78 0 2 2 0 0 0 0
78 1 3 3 0 0 0 0
79 0 2 2 0 0 0 0
79 1 2 2 0 1 0 0
79 2 3 0 0 0 0 0
79 3 3 3 0 0 0 0
79 4 4 1 0 0 0 0
79 5 4 1 1 0 0 0
80 0 3 3 0 0 0 0
81 0 2 2 0 0 0 0
81 1 3 0 0 0 0 0
81 2 4 1 0 0 0 0
81 3 4 1 1 0 0 0
82 0 2 2 0 0 0 0
82 1 3 3 0 0 0 0
82 2 3 3 0 1 0 0
82 3 4 1 0 0 0 0
82 4 4 1 1 0 0 0
82 5 5 2 0 0 0 0
83 0 2 2 0 0 0 0
83 1 3 0 0 0 0 0
83 2 3 3 0 0 0 0
83 3 4 1 0 0 0 0
83 4 4 1 0 1 0 0
83 5 4 1 1 0 0 0
83 6 4 1 1 1 0 0
83 7 5 2 0 0 0 0
83 8 6 0 0 0 0 0
84 0 3 3 0 0 0 0
84 1 5 2 0 0 0 0
85 0 3 3 0 0 0 0
85 1 4 1 0 0 0 0
85 2 4 1 1 0 0 0
85 3 5 2 0 0 0 0
85 4 5 2 0 1 0 0
85 5 6 0 0 0 0 0
86 0 4 1 0 0 0 0
86 1 4 1 1 0 0 0
86 2 5 2 0 0 0 0
86 3 6 0 0 0 0 0
87 0 5 2 0 0 0 0
88 0 5 2 0 0 0 0
88 1 6 0 0 0 0 0
89 0 1 4 0 0 0 0
90 0 0 6 0 0 0 0
90 1 1 4 0 0 0 0
90 2 1 7 0 0 0 0
90 3 2 5 0 0 0 0
91 0 1 7 0 0 0 0
92 0 0 6 0 0 0 0
92 1 1 4 0 0 0 0
92 2 1 4 0 1 0 0
92 3 2 5 0 0 0 0
93 0 0 6 0 0 0 0
93 1 1 7 0 0 0 0
93 2 1 7 0 1 0 0
93 3 2 5 0 0 0 0
94 0 1 4 0 0 0 0
95 0 0 6 0 0 0 0
95 1 1 4 0 0 0 0
95 2 1 7 0 0 0 0
95 3 2 5 0 0 0 0
95 4 2 5 0 1 0 0
96 0 1 7 0 0 0 0
97 0 1 4 0 0 0 0
97 1 2 5 0 0 0 0
98 0 1 7 0 0 0 0
98 1 2 5 0 0 0 0
99 0 2 5 0 0 0 0
100 0 1 4 0 0 0 0
101 0 0 6 0 0 0 0
101 1 1 4 0 0 0 0
101 2 1 7 0 0 0 0
101 3 2 5 0 0 0 0
101 4 2 5 1 0 0 0
102 0 1 7 0 0 0 0
103 0 0 6 0 0 0 0
103 1 1 4 0 0 0 0
103 2 1 4 0 1 0 0
103 3 2 5 0 0 0 0
103 4 2 5 1 0 0 0
103 5 3 3 0 0 0 0
104 0 0 6 0 0 0 0
104 1 1 7 0 0 0 0
104 2 1 7 0 1 0 0
104 3 2 5 0 0 0 0
104 4 2 5 1 0 0 0
104 5 3 6 0 0 0 0
105 0 1 4 0 0 0 0
105 1 3 3 0 0 0 0
106 0 0 6 0 0 0 0
106 1 1 4 0 0 0 0
106 2 1 7 0 0 0 0
106 3 2 5 0 0 0 0
106 4 2 5 0 1 0 0
106 5 2 5 1 0 0 0
106 6 2 5 1 1 0 0
106 7 3 3 0 0 0 0
106 8 3 6 0 0 0 0
106 9 4 4 0 0 0 0
107 0 1 7 0 0 0 0
107 1 3 6 0 0 0 0
108 0 1 4 0 0 0 0
108 1 2 5 0 0 0 0
108 2 2 5 1 0 0 0
108 3 3 3 0 0 0 0
108 4 3 3 0 1 0 0
108 5 4 4 0 0 0 0
109 0 1 7 0 0 0 0
109 1 2 5 0 0 0 0
109 2 2 5 1 0 0 0
109 3 3 6 0 0 0 0
109 4 3 6 0 1 0 0
109 5 4 4 0 0 0 0
110 0 3 3 0 0 0 0
111 0 2 5 0 0 0 0
111 1 2 5 1 0 0 0
111 2 3 3 0 0 0 0
111 3 3 6 0 0 0 0
111 4 4 4 0 0 0 0
111 5 4 4 0 1 0 0
112 0 3 6 0 0 0 0
113 0 3 3 0 0 0 0
113 1 4 4 0 0 0 0
114 0 3 6 0 0 0 0
114 1 4 4 0 0 0 0
115 0 4 4 0 0 0 0
116 0 2 5 0 0 0 0
117 0 2 5 0 0 0 0
117 1 3 3 0 0 0 0
118 0 2 5 0 0 0 0
118 1 3 6 0 0 0 0
119 0 3 3 0 0 0 0
120 0 2 5 0 0 0 0
120 1 2 5 0 1 0 0
120 2 3 3 0 0 0 0
120 3 3 6 0 0 0 0
120 4 4 4 0 0 0 0
120 5 4 4 1 0 0 0
121 0 3 6 0 0 0 0
122 0 2 5 0 0 0 0
122 1 3 3 0 0 0 0
122 2 3 3 0 1 0 0
122 3 4 4 0 0 0 0
122 4 4 4 1 0 0 0
122 5 5 2 0 0 0 0
123 0 2 5 0 0 0 0
123 1 3 6 0 0 0 0
123 2 3 6 0 1 0 0
123 3 4 4 0 0 0 0
123 4 4 4 1 0 0 0
123 5 5 5 0 0 0 0
124 0 3 3 0 0 0 0
124 1 5 2 0 0 0 0
125 0 2 5 0 0 0 0
125 1 3 3 0 0 0 0
125 2 3 6 0 0 0 0
125 3 4 4 0 0 0 0
125 4 4 4 0 1 0 0
125 5 4 4 1 0 0 0
125 6 4 4 1 1 0 0
125 7 5 2 0 0 0 0
125 8 5 5 0 0 0 0
125 9 6 3 0 0 0 0
126 0 3 6 0 0 0 0
126 1 5 5 0 0 0 0
127 0 3 3 0 0 0 0
127 1 4 4 0 0 0 0
127 2 4 4 1 0 0 0
127 3 5 2 0 0 0 0
127 4 5 2 0 1 0 0
127 5 6 3 0 0 0 0
128 0 3 6 0 0 0 0
128 1 4 4 0 0 0 0
128 2 4 4 1 0 0 0
128 3 5 5 0 0 0 0
128 4 5 5 0 1 0 0
128 5 6 3 0 0 0 0
129 0 5 2 0 0 0 0
130 0 4 4 0 0 0 0
130 1 4 4 1 0 0 0
130 2 5 2 0 0 0 0
130 3 5 5 0 0 0 0
130 4 6 3 0 0 0 0
130 5 6 3 0 1 0 0
131 0 5 5 0 0 0 0
132 0 5 2 0 0 0 0
132 1 6 3 0 0 0 0
133 0 5 5 0 0 0 0
133 1 6 3 0 0 0 0
134 0 6 3 0 0 0 0
135 0 3 3 0 0 0 0
136 0 3 3 0 0 0 0
136 1 4 1 0 0 0 0
137 0 3 3 0 0 0 0
137 1 4 4 0 0 0 0
138 0 4 1 0 0 0 0
139 0 3 3 0 0 0 0
139 1 3 3 0 1 0 0
139 2 4 1 0 0 0 0
139 3 4 4 0 0 0 0
139 4 5 2 0 0 0 0
139 5 5 2 1 0 0 0
140 0 4 4 0 0 0 0
141 0 3 3 0 0 0 0
141 1 4 1 0 0 0 0
141 2 4 1 0 1 0 0
141 3 5 2 0 0 0 0
141 4 5 2 1 0 0 0
141 5 6 0 0 0 0 0
142 0 3 3 0 0 0 0
142 1 4 4 0 0 0 0
142 2 4 4 0 1 0 0
142 3 5 2 0 0 0 0
142 4 5 2 1 0 0 0
142 5 6 3 0 0 0 0
143 0 3 3 0 0 0 0
143 1 4 1 0 0 0 0
143 2 4 4 0 0 0 0
143 3 5 2 0 0 0 0
143 4 5 2 0 1 0 0
143 5 5 2 1 0 0 0
143 6 5 2 1 1 0 0
143 7 6 0 0 0 0 0
143 8 6 3 0 0 0 0
143 9 7 1 0 0 0 0
144 0 4 4 0 0 0 0
144 1 6 3 0 0 0 0
145 0 4 1 0 0 0 0
145 1 5 2 0 0 0 0
145 2 5 2 1 0 0 0
145 3 6 0 0 0 0 0
145 4 7 1 0 0 0 0
146 0 4 4 0 0 0 0
146 1 5 2 0 0 0 0
146 2 5 2 1 0 0 0
146 3 6 3 0 0 0 0
146 4 6 3 0 1 0 0
146 5 7 1 0 0 0 0
147 0 5 2 0 0 0 0
147 1 5 2 1 0 0 0
147 2 6 0 0 0 0 0
147 3 6 3 0 0 0 0
147 4 7 1 0 0 0 0
147 5 7 1 0 1 0 0
148 0 6 3 0 0 0 0
149 0 6 3 0 0 0 0
149 1 7 1 0 0 0 0
150 0 7 1 0 0 0 0
151 0 4 1 0 0 0 0
152 0 4 1 0 0 0 0
153 0 4 1 0 0 0 0
153 1 5 2 0 0 0 0
154 0 4 1 0 0 0 0
154 1 4 1 0 1 0 0
154 2 5 2 0 0 0 0
154 3 6 0 0 0 0 0
155 0 5 2 0 0 0 0
156 0 4 1 0 0 0 0
156 1 5 2 0 0 0 0
156 2 5 2 0 1 0 0
156 3 6 0 0 0 0 0
156 4 7 1 0 0 0 0
157 0 4 1 0 0 0 0
157 1 5 2 0 0 0 0
157 2 6 0 0 0 0 0
157 3 7 1 0 0 0 0
158 0 5 2 0 0 0 0
158 1 7 1 0 0 0 0
159 0 5 2 0 0 0 0
159 1 6 0 0 0 0 0
159 2 7 1 0 0 0 0
159 3 7 1 0 1 0 0
160 0 7 1 0 0 0 0
161 0 7 1 0 0 0 0
162 0 0 6 0 0 0 0
162 1 1 7 0 0 0 0
162 2 1 7 1 0 0 0
162 3 2 5 0 0 0 0
163 0 0 9 0 0 0 0
163 1 1 7 0 0 0 0
163 2 1 7 1 0 0 0
163 3 2 8 0 0 0 0
164 0 0 6 0 0 0 0
164 1 2 5 0 0 0 0
165 0 0 6 0 0 0 0
165 1 0 9 0 0 0 0
165 2 1 7 0 0 0 0
165 3 1 7 0 1 0 0
165 4 1 7 1 0 0 0
165 5 1 7 1 1 0 0
165 6 2 5 0 0 0 0
165 7 2 8 0 0 0 0
165 8 3 6 0 0 0 0
166 0 0 9 0 0 0 0
166 1 2 8 0 0 0 0
167 0 0 6 0 0 0 0
167 1 1 7 0 0 0 0
167 2 1 7 1 0 0 0
167 3 2 5 0 0 0 0
167 4 2 5 0 1 0 0
167 5 3 6 0 0 0 0
168 0 0 9 0 0 0 0
168 1 1 7 0 0 0 0
168 2 1 7 1 0 0 0
168 3 2 8 0 0 0 0
168 4 2 8 0 1 0 0
168 5 3 6 0 0 0 0
169 0 2 5 0 0 0 0
170 0 1 7 0 0 0 0
170 1 1 7 1 0 0 0
170 2 2 5 0 0 0 0
170 3 2 8 0 0 0 0
170 4 3 6 0 0 0 0
170 5 3 6 0 1 0 0
171 0 2 8 0 0 0 0
172 0 2 5 0 0 0 0
172 1 3 6 0 0 0 0
